sha1,date,name,size
ce9e5024041b2ece2bafa2a9d9516bb174ee8949,2022-10-31,"Anixa Biosciences, Inc.",3996701
f71415f9ca0cff70e5fa193616b6197f361130ed,2023-02-21,"Maravai LifeSciences Holdings, Inc.",4033642
4a9d2b853e05970776121a810460f0962a18c5a1,2022-XX,KLA Corporation,1181894
f973dd219c534accb0d4e72d8e12f51284d48d10,2023-01-01,"Ameresco, Inc.",10648267
4e27f4c3402c657d548760cb3a164b036cefaabb,2022-12-31,Battery Minerals Limited,3650701
ac9921e0f4ff34f1a9adb1807b88675adf4b6091,2023-02-16,"Caesars Entertainment, Inc.",2178712
8564a818c6467b2116d60c17d4cc9476544e9f82,2022-01-01,NFBK,4077104
682de8e45fd9688f3452bc0e18257132a8f3cff6,2023-02-09,"Sonic Automotive, Inc.",1013572
ce72b016beb805c5b3b310afdcf952e01984e192,2022-01-01,Charles River Laboratories,5411060
d43ffe97015909633ad3df3e8e68560912e2160a,2022-01-01,Rogers Communications Inc.,8092004
83e609019911fbcf3b8feb72db2395f1db38f9a5,2022-09-30,"Barnwell Industries, Inc.",1673194
122a31805e36a355e94e08fff43ba4f0a7d9d612,2022-12-31,SGH,6177790
ac26ef52918fe44794884a3b3b6fc5c15dd5144c,2022-06-30,GBE,11961138
2fd79ae4ebe4943384c119eb1d1e9286ba3c5074,2023-03-03,"BCB BANCORP, INC.",1012747
6c9e4d0625cc53df4fc01fcf44d4d10c50ea99ed,2022-00-00,Ferguson plc,6608737
1090dc6cd3f0f7994d96332088ed04d1d0d809d0,2022-01-01,Moneysupermarket Group,14885445
dec25b381781d791e4782669a619dd827072bc55,2022-12-31,Chartwell,5098048
d1529e13abef5e4f7f93427955ab0e0c4c9e5d26,2023-03-17,"Mawson Infrastructure Group, Inc.",1447211
4a5f1d9749787dfa57d55695a6f86b88881e71f9,2022-01-01,Semperit,6470973
ecd3bbeeb84acb47e46a2fb3da2b46e5d7a0ffb3,2023-01-31,GitLab Inc.,1456484
3cc4132f89ba6478647668f57f71b8d7b2aa1cd4,2023-03-21,ABEONA THERAPEUTICS INC.,6267124
1b645142ec26d84520d8f3151bc046d39dcb3cab,2022-01-01,YOURGENE HEALTH,3755383
